Grimsby|2016|Action - Comedy|5.7
Guardians of the Galaxy Vol. 2|2017|Action - Adventure|7.6
Guardians of the Galaxy|2014|Action - Science Fiction - Adventure|7.8
Hacksaw Ridge|2017|Drama - History - War|7.8
Hail, Caesar!|2016|Comedy - Drama - Mystery|5.7
Harry Potter and the Chamber of Secrets|2002|Adventure - Fantasy - Family|7.3
Harry Potter and the Deathly Hallows:Part 1|2010|Adventure - Fantasy - Family|7.5
Harry Potter and the Deathly Hallows:Part 2|2011|Adventure - Fantasy|7.8
Harry Potter and the Goblet of Fire|2005|Adventure - Fantasy - Family|7.4
Harry Potter and the Half-Blood Prince|2009|Adventure - Fantasy - Family|7.4
Harry Potter and the Order of thePhoenix|2007|Adventure - Fantasy - Family|7.3
Harry Potter and the Philosopher's Stone|2001|Adventure - Fantasy - Family|7.4
Harry Potter and the Prisoner of Azkaban|2004|Adventure - Fantasy - Family|7.6
The Hateful Eight|2015|Crime - Drama - Mystery|7.5
Her|2013|Romance - Science Fiction - Drama|7.8
Hidden Figures|2016|History - Drama|7.7
Hitman|2007|Action - Crime - Drama|5.9
The Hitman's Bodyguard|2017|Action - Comedy|5.9
The Hobbit: The Battle of the Five Armies|2014|Action - Adventure - Fantasy|7.1
The Hobbit: The Desolation of Smaug|2013|Adventure - Fantasy|7.6
Hocus Pocus|1993|Comedy - Family - Fantasy|6.3
Home|2015|Fantasy - Comedy - Animation|6.8
Home Alone|1990|Comedy - Family|7.0
Hoodwinked!|2005|Animation - Comedy - Family|5.9
The Hooligan Factory|2014|Comedy|5.3
Hot Tub Time Machine 2|2015|Comedy|4.9
Hotel Transylvania|2012|Animation - Comedy - Family|6.8
Hotel Transylvania 2|2015|Animation - Comedy - Family|6.7
The House|2017|Comedy|6.5
How the Grinch Stole Christmas|2000|Family - Comedy - Fantasy|6.1
How to Train Your Dragon|2010|Fantasy - Adventure - Animation|7.5
How to Train Your Dragon 2|2014|Fantasy - Action - Adventure|7.7
The Hunger Games: Catching Fire|2013|Adventure - Action - Science Fiction|7.4
The Hunger Games: Mockingjay - Part 1|2014|Science Fiction - Adventure - Thriller|6.6
The Hunger Games: Mockingjay - Part 2|2015|Action - Adventure - Science Fiction|6.6
Ice Age|2002|Animation - Comedy - Family|7.0
Ice Age: Collision Course|2016|Adventure - Animation - Family|5.5
Idiocracy|2006|Adventure - Comedy - Science Fiction|6.3
The Imitation Game|2014|History - Drama - Thriller|8.0
